code,name,strategy,annual_return,max_drawdown,sharpe_ratio,win_rate,trade_count
601088,中国神华,A,13.25,-13.16,0.653,49.84,28
601088,中国神华,B,12.18,-24.64,0.454,49.84,131
601088,中国神华,C,16.66,-15.1,0.787,50.09,58
600900,长江电力,A,6.07,-13.44,0.346,47.82,12
600900,长江电力,B,7.87,-15.78,0.379,47.76,123
600900,长江电力,C,5.22,-11.08,0.26,48.01,60
002714,牧原股份,A,3.27,-39.22,0.111,45.55,21
002714,牧原股份,B,3.11,-51.41,0.15,45.74,134
002714,牧原股份,C,2.85,-41.99,0.11,45.74,91
601225,陕西煤业,A,15.56,-19.12,0.701,49.72,30
601225,陕西煤业,B,18.15,-28.18,0.6,49.72,110
601225,陕西煤业,C,17.27,-19.99,0.746,50.03,60
600188,兖矿能源,A,27.61,-29.76,0.947,47.76,37
600188,兖矿能源,B,28.6,-41.78,0.756,47.76,109
600188,兖矿能源,C,23.53,-27.92,0.828,47.95,69
600036,招商银行,A,4.66,-30.74,0.178,46.11,17
600036,招商银行,B,4.04,-38.71,0.151,46.37,135
600036,招商银行,C,3.15,-35.17,0.092,46.49,66
600309,万华化学,A,2.81,-39.11,0.079,46.56,16
600309,万华化学,B,8.22,-53.28,0.314,46.3,114
600309,万华化学,C,3.98,-35.3,0.144,46.75,75
601006,大秦铁路,A,1.56,-17.07,-0.13,43.84,12
601006,大秦铁路,B,-2.21,-28.05,-0.33,43.78,118
601006,大秦铁路,C,-1.45,-25.68,-0.412,44.09,69
600011,华能国际,A,9.81,-27.51,0.391,44.85,22
600011,华能国际,B,9.75,-39.49,0.354,44.85,102
600011,华能国际,C,5.51,-35.96,0.217,45.17,82
600795,国电电力,A,9.29,-20.4,0.446,44.54,16
600795,国电电力,B,18.29,-26.87,0.681,44.47,121
600795,国电电力,C,10.23,-20.05,0.48,44.54,66
000876,新希望,A,-2.48,-53.33,-0.197,45.17,20
000876,新希望,B,-4.12,-69.86,-0.12,45.17,111
000876,新希望,C,-9.29,-71.44,-0.463,45.36,109
601872,招商轮船,A,8.66,-30.47,0.33,45.74,36
601872,招商轮船,B,7.39,-45.64,0.303,45.61,112
601872,招商轮船,C,11.58,-29.86,0.43,45.74,72
600426,华鲁恒升,A,7.03,-27.74,0.288,48.77,21
600426,华鲁恒升,B,13.35,-40.3,0.456,48.64,120
600426,华鲁恒升,C,8.95,-31.77,0.354,49.02,70
002064,华峰化学,A,6.94,-37.43,0.281,47.57,29
002064,华峰化学,B,9.36,-53.92,0.345,47.76,111
002064,华峰化学,C,7.94,-35.03,0.316,48.07,79
601898,中煤能源,A,12.23,-23.84,0.493,46.49,30
601898,中煤能源,B,14.02,-38.22,0.463,46.43,113
601898,中煤能源,C,14.82,-29.5,0.58,46.56,67
601985,中国核电,A,8.3,-18.89,0.411,46.05,22
601985,中国核电,B,8.11,-29.48,0.322,46.05,119
601985,中国核电,C,7.43,-20.36,0.353,46.24,68
300498,温氏股份,A,-3.19,-36.83,-0.258,45.61,21
300498,温氏股份,B,-4.49,-45.54,-0.157,45.61,107
