code,name,signal_A,signal_B,signal_C
601088,中国神华,52.6,72.0,29.5
600900,长江电力,54.7,71.5,34.0
002714,牧原股份,57.6,74.0,41.5
601225,陕西煤业,54.5,72.0,34.0
600188,兖矿能源,53.0,75.8,37.0
600036,招商银行,51.5,70.8,34.0
600309,万华化学,46.6,38.5,43.9
601006,大秦铁路,47.8,69.2,38.2
600011,华能国际,46.3,32.2,47.0
600795,国电电力,51.8,66.2,39.5
000876,新希望,53.3,69.2,41.5
601872,招商轮船,43.9,46.2,51.7
600426,华鲁恒升,44.3,65.2,48.8
002064,华峰化学,46.6,45.8,43.8
601898,中煤能源,45.2,40.0,47.0
601985,中国核电,42.9,40.0,43.8
300498,温氏股份,61.3,74.0,38.5
002311,海大集团,56.0,72.5,38.5
001965,招商公路,54.0,76.8,50.0
600519,贵州茅台,53.4,65.5,36.5
000858,五粮液,54.2,66.2,52.0
000333,美的集团,51.6,72.2,34.0
002594,比亚迪,57.2,70.0,37.0
600887,伊利股份,56.4,70.0,39.8
601318,中国平安,48.6,73.8,34.0
600030,中信证券,49.7,54.2,43.8
601166,兴业银行,51.4,74.5,34.0
600276,恒瑞医药,54.8,76.0,35.2
300760,迈瑞医疗,61.2,74.0,33.5
603259,药明康德,55.1,69.5,38.2
300750,宁德时代,47.9,50.5,43.8
002415,海康威视,54.0,65.8,45.8
002475,立讯精密,43.5,54.4,55.5
300274,阳光电源,45.0,44.8,56.6
688981,中芯国际,52.2,53.8,50.0
000651,格力电器,52.0,67.0,40.2
600585,海螺水泥,49.0,59.7,44.8
601857,中国石油,49.1,66.2,29.5
688111,金山办公,56.5,77.8,44.8
603019,中科曙光,51.9,61.2,56.2
